Brand,Model,Size,Smart,Seller,Price
Samsung,UE43AU7000,43,1,Avrupa,7594.55
TCL,55C725,55,1,EPATeknoloji,10614.04
Toshiba,43LL2A63DT,43,1,ÜRÜNDÜNYASII,5250.0
Samsung,UE70AU7100,70,1,arslangroup,15499.0
Onvo,OV43250,43,1,atstabletbilgisayar,3786.0
Samsung,QE75Q60A,75,1,SamsungTürkiye,24581.45
Samsung,UE32T5300,32,1,SamsungTürkiye,4824.04
Toshiba,32LL3A63DT,32,1,Saraticaret21,3551.2
Toshiba,43LL2A63DT,43,1,Saraticaret21,5249.6
Samsung,QE55Q80A,55,1,TEKNOSPORT,14783.04
Vestel,43U9500,43,1,DoğanGroup-VestelYOB,5789.04
Philips,43PFS5505/62,43,0,ELECTROPLUS,4609.99
Vestel,55Q9900,55,1,Simport-Vestel-YOB,10616.0
Regal,43R654FC,43,1,RegalKurumsalMağaza,5199.0
LG,OLED55C14LB,55,1,KırmızıElma,16547.8
Vestel,55UA9800,55,1,Simport-Vestel-YOB,7725.0
Profilo,50PA305E,50,1,GüvenDtm,7243.0
TCL,50P615,50,1,EVYAPARAVM,9629.0
Vestel,49UA9800,49,1,UzunDtm-Vestel-YOB,8474.0
Toshiba,50UL3B63DT,50,1,ELECTROPLUS,7139.99
Vestel,32H8500,32,0,Lider-Vestel-YOB,2999.0
Vestel,32H8401,32,0,Simport-Vestel-YOB,2569.8
Techwood,32TEC600,32,0,VSOutlet,2411.54
Sony,KD-55A8,55,1,dogubankbilisim,19999.0
Samsung,UE32T5300,32,1,dogubankbilisim,4399.0
Samsung,UE55AU7000,55,1,dogubankbilisim,10599.0
LG,55NANO866PA,55,1,KırmızıElma,12696.33
Vestel,32H8500,32,0,Simport-Vestel-YOB,2999.0
Sony,XR-77A80J,77,1,Mysonyshop,58799.02
LG,50UP77006LB,50,1,KırmızıElma,10003.0
LG,75NANO916PA,75,1,gizerler,28461.46
Vestel,43F9510,43,1,Facom-Vestel-YOB,5260.0
Telefunken,43TF6520,43,1,EgeizoYapı,5129.0
Vestel,58U9500,58,1,OrhanMob-Vestel-YOB,8133.02
Samsung,QE75Q800T,75,1,ÖzbaşHome,39199.02
Vestel,39H9400,39,1,OrhanMob-Vestel-YOB,4534.54
Regal,24R604H,24,0,pozcuova,2447.04
LG,70UP81006LA,70,1,MARKAUYGUN,15499.0
Vestel,58U9510,58,1,OrhanMob-Vestel-YOB,8008.54
Vestel,43U9600,43,1,OrhanMob-Vestel-YOB,5644.29
Vestel,43U9510,43,1,Facom-Vestel-YOB,5340.0
Samsung,UE43AU8000,43,1,MARKAUYGUN,7499.0
Altus,AL55L,55,1,EgeizoYapı,9139.0
Samsung,QE55Q60A,55,1,EgeizoYapı,13082.02
Vestel,32H9600,32,1,Facom-Vestel-YOB,3310.0
LG,49UN73006,49,1,gizerler,8589.47
Samsung,QE65Q60A,65,1,gizerler,17179.96
Philips,50PUS7505/62,50,1,MARKAUYGUN,7099.0
Philips,50PUS7805/62,50,1,MARKAUYGUN,7999.0
Samsung,UE70AU7100,70,1,MARKAUYGUN,13919.04
Samsung,UE50AU8000,50,1,MARKAUYGUN,9599.04
Samsung,UE50AU8000,50,1,ÖzbaşHome,10999.0
Philips,55PUS7805/62,55,1,MARKAUYGUN,9499.0
Philips,58PUS8505/62,58,1,MARKAUYGUN,10499.0
Vestel,65U9700,65,1,OrhanMob-Vestel-YOB,11048.29
Profilo,39PA210E,39,0,VATANAVM06,3715.25
Vestel,50U9700,50,1,OrhanMob-Vestel-YOB,7719.04
Onvo,OV55F350,55,1,ÖzbaşHome,6249.0
Saba,SB58F350,58,1,EgeizoYapı,7749.0
Philips,43PUS7805/62,43,1,MARKAUYGUN,6499.0
Hitachi,32HT4060HD,32,0,EgeizoYapı,2599.0
Vestel,55U9500,55,1,Facom-Vestel-YOB,8000.0
LG,43UP77006LB,43,1,ÖzbaşHome,7999.0
Saba,SB50F351,50,1,EgeizoYapı,6399.0
Digipoll,"50""",50,1,EgeizoYapı,5389.0
Samsung,QE50Q60A,50,1,gizerler,11694.46
Vestel,32H8401,32,0,OrhanMob-Vestel-YOB,2694.02
Vestel,43F9600,43,1,OrhanMob-Vestel-YOB,5354.79
Vestel,32H8500,32,0,OrhanMob-Vestel-YOB,2783.04
Vestel,32H8600,32,0,Facom-Vestel-YOB,2765.0
Philips,50PUS7906,50,1,VEYİSOĞLU,9999.0
Samsung,QE75Q950T,75,1,ÖzbaşHome,59999.0
Regal,50R857UQ,50,1,pozcuova,7399.0
Vestel,32FA9500,32,1,Facom-Vestel-YOB,3550.0
Vestel,43U9700,43,1,OrhanMob-Vestel-YOB,6126.79
LG,NanoCell,50,1,ÖzbaşHome,11999.0
Vestel,55U9600,55,1,OrhanMob-Vestel-YOB,8201.54
Profilo,32PA200E,32,0,VATANAVM06,2849.65
Vestel,39H8401,39,0,OrhanMob-Vestel-YOB,4052.04
Samsung,UE75AU9000,75,1,ÖzbaşHome,21999.0
Samsung,UE40T5300,40,1,gizerler,6312.46
Samsung,UE50AU7000,50,1,EgeizoYapı,9379.0
Samsung,UE50AU7000,50,1,MARKAUYGUN,9119.04
Vestel,58U9500,58,1,Facom-Vestel-YOB,8325.0
Vestel,50U9500,50,1,OrhanMob-Vestel-YOB,7091.79
Samsung,QE85Q950T,85,1,ÖzbaşHome,89999.01
Vestel,55O9900,55,1,OrhanMob-Vestel-YOB,18431.04
Regal,55R857UQ,55,1,pozcuova,9249.0
Regal,65R854UQ,65,1,pozcuova,12499.0
Regal,39R653HC,39,1,pozcuova,3489.0
Regal,65R754UA9,65,1,pozcuova,10614.04
Telefunken,32TH4020,32,0,EgeizoYapı,2649.0
Profilo,50PA305E,50,1,VATANAVM06,6030.29
Vestel,50U9600,50,1,OrhanMob-Vestel-YOB,7091.79
Samsung,UE40T5300,40,1,MARKAUYGUN,5999.0
Samsung,UE55AU7000,55,1,EgeizoYapı,11096.54
LG,75UP75006LC,75,1,EgeizoYapı,17209.0
Samsung,UE65AU7000,65,1,MARKAUYGUN,13499.0
Techwood,50U02,50,1,ÖzbaşHome,5499.0
Altus,AL65L,65,1,EgeizoYapı,11269.0
Samsung,UE65AU9000,65,1,gizerler,17076.46
Regal,50R754UA9,50,1,pozcuova,6999.0
Vestel,55U9700,55,1,OrhanMob-Vestel-YOB,8587.54
Samsung,UE55AU7000,55,1,MARKAUYGUN,11039.04
LG,86NANO756PA,86,1,gizerler,31514.71
LG,43LM6300PLA,43,1,gizerler,6819.61
